300201,432301,583201,_id,year,month,day,date
18.9,25.5,26.5,5f58f72a00db8d380472b690,2012,1,24,2012-01-24T00:00:00.000Z
19.1,25.1,26.6,5f58f72a00db8d380472b691,2012,1,25,2012-01-25T00:00:00.000Z
19.1,23.1,26.7,5f58f72a00db8d380472b692,2012,1,26,2012-01-26T00:00:00.000Z
18.9,25.1,27.2,5f58f72a00db8d380472b693,2012,1,27,2012-01-27T00:00:00.000Z
18.7,26.3,26,5f58f72a00db8d380472b694,2012,1,28,2012-01-28T00:00:00.000Z
19.3,25.1,25.5,5f58f72a00db8d380472b695,2012,1,29,2012-01-29T00:00:00.000Z
20.7,25,26,5f58f72a00db8d380472b696,2012,1,30,2012-01-30T00:00:00.000Z
23.1,22.8,25.3,5f58f72a00db8d380472b697,2012,1,31,2012-01-31T00:00:00.000Z
24.8,23.6,26.4,5f58f72a00db8d380472b698,2012,2,1,2012-02-01T00:00:00.000Z
24.4,25.7,27,5f58f72a00db8d380472b699,2012,2,2,2012-02-02T00:00:00.000Z
23.4,26.3,27.1,5f58f72a00db8d380472b69a,2012,2,3,2012-02-03T00:00:00.000Z
22.7,25.5,26.5,5f58f72a00db8d380472b69b,2012,2,4,2012-02-04T00:00:00.000Z
22.7,27.1,26.5,5f58f72a00db8d380472b69c,2012,2,5,2012-02-05T00:00:00.000Z
22.1,28.4,26.7,5f58f72a00db8d380472b69d,2012,2,6,2012-02-06T00:00:00.000Z
21.3,28.1,26.8,5f58f72a00db8d380472b69e,2012,2,7,2012-02-07T00:00:00.000Z
21.9,27.4,26.7,5f58f72a00db8d380472b69f,2012,2,8,2012-02-08T00:00:00.000Z
22.1,27,26.5,5f58f72a00db8d380472b6a0,2012,2,9,2012-02-09T00:00:00.000Z
21.9,27.4,26.9,5f58f72a00db8d380472b6a1,2012,2,10,2012-02-10T00:00:00.000Z
22.4,25.8,27.2,5f58f72a00db8d380472b6a2,2012,2,11,2012-02-11T00:00:00.000Z
22,25.3,27.1,5f58f72a00db8d380472b6a3,2012,2,12,2012-02-12T00:00:00.000Z
22.5,25.1,27.6,5f58f72a00db8d380472b6a4,2012,2,13,2012-02-13T00:00:00.000Z
21.9,26,26.5,5f58f72a00db8d380472b6a5,2012,2,14,2012-02-14T00:00:00.000Z
21.2,26,26.5,5f58f72a00db8d380472b6a6,2012,2,15,2012-02-15T00:00:00.000Z
22,26.2,26.8,5f58f72a00db8d380472b6a7,2012,2,16,2012-02-16T00:00:00.000Z
22,26,27.2,5f58f72a00db8d380472b6a8,2012,2,17,2012-02-17T00:00:00.000Z
22.6,24.4,26.9,5f58f72a00db8d380472b6a9,2012,2,18,2012-02-18T00:00:00.000Z
22.6,22.6,27.5,5f58f72a00db8d380472b6aa,2012,2,19,2012-02-19T00:00:00.000Z
24.6,21.7,27.8,5f58f72a00db8d380472b6ab,2012,2,20,2012-02-20T00:00:00.000Z
23.6,24,27,5f58f72a00db8d380472b6ac,2012,2,21,2012-02-21T00:00:00.000Z
23.2,25.9,27.8,5f58f72a00db8d380472b6ad,2012,2,22,2012-02-22T00:00:00.000Z
23,28.1,27.9,5f58f72a00db8d380472b6ae,2012,2,23,2012-02-23T00:00:00.000Z
23.1,30,28.3,5f58f72a00db8d380472b6af,2012,2,24,2012-02-24T00:00:00.000Z
22.4,30.9,27.5,5f58f72a00db8d380472b6b0,2012,2,25,2012-02-25T00:00:00.000Z
23.4,30.9,27.6,5f58f72a00db8d380472b6b1,2012,2,26,2012-02-26T00:00:00.000Z
23.8,29.8,28.4,5f58f72a00db8d380472b6b2,2012,2,27,2012-02-27T00:00:00.000Z
23.4,29,27.7,5f58f72a00db8d380472b6b3,2012,2,28,2012-02-28T00:00:00.000Z
22.8,29.2,27.5,5f58f72a00db8d380472b6b4,2012,2,29,2012-02-29T00:00:00.000Z
22.7,29.3,27.5,5f58f72a00db8d380472b6b5,2012,3,1,2012-03-01T00:00:00.000Z
22.6,28.6,27.3,5f58f72a00db8d380472b6b6,2012,3,2,2012-03-02T00:00:00.000Z
22.7,29.6,24.2,5f58f72a00db8d380472b6b7,2012,3,3,2012-03-03T00:00:00.000Z
22.4,29.1,26.3,5f58f72a00db8d380472b6b8,2012,3,4,2012-03-04T00:00:00.000Z
23.1,29.8,27.3,5f58f72a00db8d380472b6b9,2012,3,5,2012-03-05T00:00:00.000Z
23.8,29.8,26.9,5f58f72a00db8d380472b6ba,2012,3,6,2012-03-06T00:00:00.000Z
23,30.3,27.4,5f58f72a00db8d380472b6bb,2012,3,7,2012-03-07T00:00:00.000Z
23.4,28.4,27.6,5f58f72a00db8d380472b6bc,2012,3,8,2012-03-08T00:00:00.000Z
23.7,28.6,27,5f58f72a00db8d380472b6bd,2012,3,9,2012-03-09T00:00:00.000Z
23,28.6,27.9,5f58f72a00db8d380472b6be,2012,3,10,2012-03-10T00:00:00.000Z
26.5,26.6,27.9,5f58f72a00db8d380472b6bf,2012,3,11,2012-03-11T00:00:00.000Z
28,26.6,27.7,5f58f72a00db8d380472b6c0,2012,3,12,2012-03-12T00:00:00.000Z
28.6,28,27.3,5f58f72a00db8d380472b6c1,2012,3,13,2012-03-13T00:00:00.000Z
27.6,28.2,27.4,5f58f72a00db8d380472b6c2,2012,3,14,2012-03-14T00:00:00.000Z
27.6,29.4,27.3,5f58f72a00db8d380472b6c3,2012,3,15,2012-03-15T00:00:00.000Z
26.8,29,27.6,5f58f72a00db8d380472b6c4,2012,3,16,2012-03-16T00:00:00.000Z
24.8,28.6,27.8,5f58f72a00db8d380472b6c5,2012,3,17,2012-03-17T00:00:00.000Z
23,29.1,27.5,5f58f72a00db8d380472b6c6,2012,3,18,2012-03-18T00:00:00.000Z
23.4,28.6,27.4,5f58f72a00db8d380472b6c7,2012,3,19,2012-03-19T00:00:00.000Z
24.8,28.8,28.1,5f58f72a00db8d380472b6c8,2012,3,20,2012-03-20T00:00:00.000Z
27,30.3,28.4,5f58f72a00db8d380472b6c9,2012,3,21,2012-03-21T00:00:00.000Z
28.5,29.9,28,5f58f72a00db8d380472b6ca,2012,3,22,2012-03-22T00:00:00.000Z
29.6,28.9,27.9,5f58f72a00db8d380472b6cb,2012,3,23,2012-03-23T00:00:00.000Z
30,24.4,27.7,5f58f72a00db8d380472b6cc,2012,3,24,2012-03-24T00:00:00.000Z
28.6,25.4,28.6,5f58f72a00db8d380472b6cd,2012,3,25,2012-03-25T00:00:00.000Z
30.3,26.1,27.6,5f58f72a00db8d380472b6ce,2012,3,26,2012-03-26T00:00:00.000Z
29.4,26.4,27,5f58f72a00db8d380472b6cf,2012,3,27,2012-03-27T00:00:00.000Z
29.5,27.3,28,5f58f72a00db8d380472b6d0,2012,3,28,2012-03-28T00:00:00.000Z
28.8,28.6,28.1,5f58f72a00db8d380472b6d1,2012,3,29,2012-03-29T00:00:00.000Z
27.8,29.3,28.6,5f58f72a00db8d380472b6d2,2012,3,30,2012-03-30T00:00:00.000Z
26.9,27.7,27.9,5f58f72a00db8d380472b6d3,2012,3,31,2012-03-31T00:00:00.000Z
28.1,25,28.1,5f58f72a00db8d380472b6d4,2012,4,1,2012-04-01T00:00:00.000Z
27.8,26.7,26.3,5f58f72a00db8d380472b6d5,2012,4,2,2012-04-02T00:00:00.000Z
28,27.7,27.4,5f58f72a00db8d380472b6d6,2012,4,3,2012-04-03T00:00:00.000Z
28.5,27.3,27.9,5f58f72a00db8d380472b6d7,2012,4,4,2012-04-04T00:00:00.000Z
28.4,26.6,28.5,5f58f72a00db8d380472b6d8,2012,4,5,2012-04-05T00:00:00.000Z
28.8,27.6,27.4,5f58f72a00db8d380472b6d9,2012,4,6,2012-04-06T00:00:00.000Z
25.7,26.8,28.2,5f58f72a00db8d380472b6da,2012,4,7,2012-04-07T00:00:00.000Z
28.1,26.5,26.4,5f58f72a00db8d380472b6db,2012,4,8,2012-04-08T00:00:00.000Z
28.1,28.1,26.6,5f58f72a00db8d380472b6dc,2012,4,9,2012-04-09T00:00:00.000Z
27.9,27,27.2,5f58f72a00db8d380472b6dd,2012,4,10,2012-04-10T00:00:00.000Z
28.6,28.6,28.2,5f58f72a00db8d380472b6de,2012,4,11,2012-04-11T00:00:00.000Z
29.1,29.5,28.3,5f58f72a00db8d380472b6df,2012,4,12,2012-04-12T00:00:00.000Z
29.7,30.1,28.6,5f58f72a00db8d380472b6e0,2012,4,13,2012-04-13T00:00:00.000Z
30,29.2,28,5f58f72a00db8d380472b6e1,2012,4,14,2012-04-14T00:00:00.000Z
30.3,29.3,28,5f58f72a00db8d380472b6e2,2012,4,15,2012-04-15T00:00:00.000Z
31.3,30.3,27.4,5f58f72a00db8d380472b6e3,2012,4,16,2012-04-16T00:00:00.000Z
31.2,31.1,27.9,5f58f72a00db8d380472b6e4,2012,4,17,2012-04-17T00:00:00.000Z
31.5,30.6,28.3,5f58f72a00db8d380472b6e5,2012,4,18,2012-04-18T00:00:00.000Z
31.1,30.6,27.8,5f58f72a00db8d380472b6e6,2012,4,19,2012-04-19T00:00:00.000Z
31.7,31.4,28.6,5f58f72a00db8d380472b6e7,2012,4,20,2012-04-20T00:00:00.000Z
31.3,31,28.9,5f58f72a00db8d380472b6e8,2012,4,21,2012-04-21T00:00:00.000Z
30.2,30.8,28.3,5f58f72a00db8d380472b6e9,2012,4,22,2012-04-22T00:00:00.000Z
30.3,31.3,28.6,5f58f72a00db8d380472b6ea,2012,4,23,2012-04-23T00:00:00.000Z
28.9,32.1,28.8,5f58f72a00db8d380472b6eb,2012,4,24,2012-04-24T00:00:00.000Z
29.4,32.5,27.5,5f58f72a00db8d380472b6ec,2012,4,25,2012-04-25T00:00:00.000Z
30.8,33.2,27,5f58f72a00db8d380472b6ed,2012,4,26,2012-04-26T00:00:00.000Z
29.8,28.5,27.3,5f58f72a00db8d380472b6ee,2012,4,27,2012-04-27T00:00:00.000Z
29.6,27.6,28.8,5f58f72a00db8d380472b6ef,2012,4,28,2012-04-28T00:00:00.000Z
27.4,30.1,27.4,5f58f72a00db8d380472b6f0,2012,4,29,2012-04-29T00:00:00.000Z
28,29.7,28.5,5f58f72a00db8d380472b6f1,2012,4,30,2012-04-30T00:00:00.000Z
27.7,29.6,29.1,5f58f72a00db8d380472b6f2,2012,5,1,2012-05-01T00:00:00.000Z
30,30.5,28.4,5f58f72a00db8d380472b6f3,2012,5,2,2012-05-02T00:00:00.000Z
29.6,31,29,5f58f72a00db8d380472b6f4,2012,5,3,2012-05-03T00:00:00.000Z
29.1,31.1,29.8,5f58f72a00db8d380472b6f5,2012,5,4,2012-05-04T00:00:00.000Z
26.4,30.2,28.5,5f58f72a00db8d380472b6f6,2012,5,5,2012-05-05T00:00:00.000Z
25.7,28.4,27.4,5f58f72a00db8d380472b6f7,2012,5,6,2012-05-06T00:00:00.000Z
27.2,29,28.1,5f58f72a00db8d380472b6f8,2012,5,7,2012-05-07T00:00:00.000Z
27.1,27,26.6,5f58f72a00db8d380472b6f9,2012,5,8,2012-05-08T00:00:00.000Z
28.7,27.9,27.6,5f58f72a00db8d380472b6fa,2012,5,9,2012-05-09T00:00:00.000Z
29.4,29.4,28.5,5f58f72a00db8d380472b6fb,2012,5,10,2012-05-10T00:00:00.000Z
30.1,30.2,29.1,5f58f72a00db8d380472b6fc,2012,5,11,2012-05-11T00:00:00.000Z
30.1,28.8,28,5f58f72a00db8d380472b6fd,2012,5,12,2012-05-12T00:00:00.000Z
30.8,29.3,29.6,5f58f72a00db8d380472b6fe,2012,5,13,2012-05-13T00:00:00.000Z
31.3,30.4,30.1,5f58f72a00db8d380472b6ff,2012,5,14,2012-05-14T00:00:00.000Z
29.7,28.4,29.9,5f58f72a00db8d380472b700,2012,5,15,2012-05-15T00:00:00.000Z
28.1,27.7,28.3,5f58f72a00db8d380472b701,2012,5,16,2012-05-16T00:00:00.000Z
28.1,28,28.9,5f58f72a00db8d380472b702,2012,5,17,2012-05-17T00:00:00.000Z
28.5,28,28.9,5f58f72a00db8d380472b703,2012,5,18,2012-05-18T00:00:00.000Z
29.2,27.9,28.5,5f58f72a00db8d380472b704,2012,5,19,2012-05-19T00:00:00.000Z
28.6,29.7,28.7,5f58f72a00db8d380472b705,2012,5,20,2012-05-20T00:00:00.000Z
28.9,30.3,29.4,5f58f72a00db8d380472b706,2012,5,21,2012-05-21T00:00:00.000Z
30,30.6,28,5f58f72a00db8d380472b707,2012,5,22,2012-05-22T00:00:00.000Z
30.1,30.1,28.9,5f58f72a00db8d380472b708,2012,5,23,2012-05-23T00:00:00.000Z
27.4,29.1,29.5,5f58f72a00db8d380472b709,2012,5,24,2012-05-24T00:00:00.000Z
25.8,26.8,29.1,5f58f72a00db8d380472b70a,2012,5,25,2012-05-25T00:00:00.000Z
25.6,27.7,29.4,5f58f72a00db8d380472b70b,2012,5,26,2012-05-26T00:00:00.000Z
28.3,28.1,28.3,5f58f72a00db8d380472b70c,2012,5,27,2012-05-27T00:00:00.000Z
28.5,28.9,27.2,5f58f72a00db8d380472b70d,2012,5,28,2012-05-28T00:00:00.000Z
27.1,29.3,27.4,5f58f72a00db8d380472b70e,2012,5,29,2012-05-29T00:00:00.000Z
27.8,29.2,28.3,5f58f72a00db8d380472b70f,2012,5,30,2012-05-30T00:00:00.000Z
27.3,28.9,28.5,5f58f72a00db8d380472b710,2012,5,31,2012-05-31T00:00:00.000Z
28.5,28,29.7,5f58f72a00db8d380472b711,2012,6,1,2012-06-01T00:00:00.000Z
27.2,27.3,28.7,5f58f72a00db8d380472b712,2012,6,2,2012-06-02T00:00:00.000Z
26.8,27.7,29.2,5f58f72a00db8d380472b713,2012,6,3,2012-06-03T00:00:00.000Z
28.9,27.7,29.7,5f58f72a00db8d380472b714,2012,6,4,2012-06-04T00:00:00.000Z
28.1,29,29.4,5f58f72a00db8d380472b715,2012,6,5,2012-06-05T00:00:00.000Z
28.8,29.9,29.4,5f58f72a00db8d380472b716,2012,6,6,2012-06-06T00:00:00.000Z
28.4,28.9,27.3,5f58f72a00db8d380472b717,2012,6,7,2012-06-07T00:00:00.000Z
27.6,27.7,27.4,5f58f72a00db8d380472b718,2012,6,8,2012-06-08T00:00:00.000Z
28.1,28.4,26.5,5f58f72a00db8d380472b719,2012,6,9,2012-06-09T00:00:00.000Z
26.8,29,27.7,5f58f72a00db8d380472b71a,2012,6,10,2012-06-10T00:00:00.000Z
27.3,29.5,27.7,5f58f72a00db8d380472b71b,2012,6,11,2012-06-11T00:00:00.000Z
27.4,29.7,28.5,5f58f72a00db8d380472b71c,2012,6,12,2012-06-12T00:00:00.000Z
27.1,29.9,28.8,5f58f72a00db8d380472b71d,2012,6,13,2012-06-13T00:00:00.000Z
27.2,29.7,28.7,5f58f72a00db8d380472b71e,2012,6,14,2012-06-14T00:00:00.000Z
26.5,29.2,28.4,5f58f72a00db8d380472b71f,2012,6,15,2012-06-15T00:00:00.000Z
27.8,29.5,28.4,5f58f72a00db8d380472b720,2012,6,16,2012-06-16T00:00:00.000Z
27.6,27.1,28.8,5f58f72a00db8d380472b721,2012,6,17,2012-06-17T00:00:00.000Z
27.4,27.6,29,5f58f72a00db8d380472b722,2012,6,18,2012-06-18T00:00:00.000Z
27.5,28,28.7,5f58f72a00db8d380472b723,2012,6,19,2012-06-19T00:00:00.000Z
26.5,28.7,29.1,5f58f72a00db8d380472b724,2012,6,20,2012-06-20T00:00:00.000Z
27.1,29.1,29,5f58f72a00db8d380472b725,2012,6,21,2012-06-21T00:00:00.000Z
27.2,28.7,28.3,5f58f72a00db8d380472b726,2012,6,22,2012-06-22T00:00:00.000Z
25.9,28.9,27.7,5f58f72a00db8d380472b727,2012,6,23,2012-06-23T00:00:00.000Z
26.6,29.1,27,5f58f72a00db8d380472b728,2012,6,24,2012-06-24T00:00:00.000Z
26.4,28.4,27.9,5f58f72a00db8d380472b729,2012,6,25,2012-06-25T00:00:00.000Z
26.6,27.3,27.1,5f58f72a00db8d380472b72a,2012,6,26,2012-06-26T00:00:00.000Z
26.3,27.6,27.9,5f58f72a00db8d380472b72b,2012,6,27,2012-06-27T00:00:00.000Z
27,28.2,28.2,5f58f72a00db8d380472b72c,2012,6,28,2012-06-28T00:00:00.000Z
27.3,28.8,28.7,5f58f72a00db8d380472b72d,2012,6,29,2012-06-29T00:00:00.000Z
27.9,28.2,28.1,5f58f72a00db8d380472b72e,2012,6,30,2012-06-30T00:00:00.000Z
27.8,28.4,28.1,5f58f72a00db8d380472b72f,2012,7,1,2012-07-01T00:00:00.000Z
26.4,28.2,27.7,5f58f72a00db8d380472b730,2012,7,2,2012-07-02T00:00:00.000Z
26.3,27.8,26.8,5f58f72a00db8d380472b731,2012,7,3,2012-07-03T00:00:00.000Z
27.7,27.5,28.2,5f58f72a00db8d380472b732,2012,7,4,2012-07-04T00:00:00.000Z
27.6,28.1,27.7,5f58f72a00db8d380472b733,2012,7,5,2012-07-05T00:00:00.000Z
27.6,27.7,27,5f58f72a00db8d380472b734,2012,7,6,2012-07-06T00:00:00.000Z
27.8,28.8,26.5,5f58f72a00db8d380472b735,2012,7,7,2012-07-07T00:00:00.000Z
27.2,28.7,27.4,5f58f72a00db8d380472b736,2012,7,8,2012-07-08T00:00:00.000Z
26.4,29,28.4,5f58f72a00db8d380472b737,2012,7,9,2012-07-09T00:00:00.000Z
26.9,29.3,28.2,5f58f72a00db8d380472b738,2012,7,10,2012-07-10T00:00:00.000Z
28.2,29.5,29.1,5f58f72a00db8d380472b739,2012,7,11,2012-07-11T00:00:00.000Z
29.6,28,28.1,5f58f72a00db8d380472b73a,2012,7,12,2012-07-12T00:00:00.000Z
29.6,28.2,27.8,5f58f72a00db8d380472b73b,2012,7,13,2012-07-13T00:00:00.000Z
26.7,29.1,26.6,5f58f72a00db8d380472b73c,2012,7,14,2012-07-14T00:00:00.000Z
27.8,29.8,27.8,5f58f72a00db8d380472b73d,2012,7,15,2012-07-15T00:00:00.000Z
27.5,30.2,28.6,5f58f72a00db8d380472b73e,2012,7,16,2012-07-16T00:00:00.000Z
25.4,29.5,28.2,5f58f72a00db8d380472b73f,2012,7,17,2012-07-17T00:00:00.000Z
25.5,29.1,27,5f58f72a00db8d380472b740,2012,7,18,2012-07-18T00:00:00.000Z
26.3,29.1,27.9,5f58f72a00db8d380472b741,2012,7,19,2012-07-19T00:00:00.000Z
27.1,29.2,28.3,5f58f72a00db8d380472b742,2012,7,20,2012-07-20T00:00:00.000Z
26.6,30,28.6,5f58f72a00db8d380472b743,2012,7,21,2012-07-21T00:00:00.000Z
26.7,30,28.1,5f58f72a00db8d380472b744,2012,7,22,2012-07-22T00:00:00.000Z
25.1,29.5,27.3,5f58f72a00db8d380472b745,2012,7,23,2012-07-23T00:00:00.000Z
25.1,28.9,26.4,5f58f72a00db8d380472b746,2012,7,24,2012-07-24T00:00:00.000Z
25.6,27.8,28,5f58f72a00db8d380472b747,2012,7,25,2012-07-25T00:00:00.000Z
25.2,27.6,28.1,5f58f72a00db8d380472b748,2012,7,26,2012-07-26T00:00:00.000Z
25.8,27.3,28.7,5f58f72a00db8d380472b749,2012,7,27,2012-07-27T00:00:00.000Z
25.6,27.9,28.1,5f58f72a00db8d380472b74a,2012,7,28,2012-07-28T00:00:00.000Z
26.4,27.1,28.1,5f58f72a00db8d380472b74b,2012,7,29,2012-07-29T00:00:00.000Z
26.5,26.6,28.9,5f58f72a00db8d380472b74c,2012,7,30,2012-07-30T00:00:00.000Z
26.1,26.9,28.3,5f58f72a00db8d380472b74d,2012,7,31,2012-07-31T00:00:00.000Z
26.1,29,29.2,5f58f72a00db8d380472b74e,2012,8,1,2012-08-01T00:00:00.000Z
26.4,28.2,28.7,5f58f72a00db8d380472b74f,2012,8,2,2012-08-02T00:00:00.000Z
27.3,28.1,28.3,5f58f72a00db8d380472b750,2012,8,3,2012-08-03T00:00:00.000Z
26.4,28.3,28.3,5f58f72a00db8d380472b751,2012,8,4,2012-08-04T00:00:00.000Z
26.4,29.8,28.8,5f58f72a00db8d380472b752,2012,8,5,2012-08-05T00:00:00.000Z
26.5,28.5,28.2,5f58f72a00db8d380472b753,2012,8,6,2012-08-06T00:00:00.000Z
26.7,28.6,27.3,5f58f72a00db8d380472b754,2012,8,7,2012-08-07T00:00:00.000Z
26.4,27.7,27.7,5f58f72a00db8d380472b755,2012,8,8,2012-08-08T00:00:00.000Z
27.2,26.1,28,5f58f72a00db8d380472b756,2012,8,9,2012-08-09T00:00:00.000Z
25.7,27.3,28.8,5f58f72a00db8d380472b757,2012,8,10,2012-08-10T00:00:00.000Z
26.9,28.5,28.6,5f58f72a00db8d380472b758,2012,8,11,2012-08-11T00:00:00.000Z
26.2,28.6,27.2,5f58f72a00db8d380472b759,2012,8,12,2012-08-12T00:00:00.000Z
26.9,27.9,28,5f58f72a00db8d380472b75a,2012,8,13,2012-08-13T00:00:00.000Z
27.6,28.4,27.7,5f58f72a00db8d380472b75b,2012,8,14,2012-08-14T00:00:00.000Z
27.6,27.9,27.6,5f58f72a00db8d380472b75c,2012,8,15,2012-08-15T00:00:00.000Z
27.1,27.9,28.2,5f58f72a00db8d380472b75d,2012,8,16,2012-08-16T00:00:00.000Z
27.5,28.6,27.6,5f58f72a00db8d380472b75e,2012,8,17,2012-08-17T00:00:00.000Z
27.2,27.1,27.3,5f58f72a00db8d380472b75f,2012,8,18,2012-08-18T00:00:00.000Z
25.4,26.5,27.9,5f58f72a00db8d380472b760,2012,8,19,2012-08-19T00:00:00.000Z
25.6,28,27.5,5f58f72a00db8d380472b761,2012,8,20,2012-08-20T00:00:00.000Z
25.8,29.7,28,5f58f72a00db8d380472b762,2012,8,21,2012-08-21T00:00:00.000Z
27.3,29.4,27.1,5f58f72a00db8d380472b763,2012,8,22,2012-08-22T00:00:00.000Z
27.7,26.8,27.8,5f58f72a00db8d380472b764,2012,8,23,2012-08-23T00:00:00.000Z
25.9,26.7,27.3,5f58f72a00db8d380472b765,2012,8,24,2012-08-24T00:00:00.000Z
26.9,26.9,27.5,5f58f72a00db8d380472b766,2012,8,25,2012-08-25T00:00:00.000Z
27.7,26.9,28.3,5f58f72a00db8d380472b767,2012,8,26,2012-08-26T00:00:00.000Z
28.5,27.1,28.5,5f58f72a00db8d380472b768,2012,8,27,2012-08-27T00:00:00.000Z
28.2,27.2,27.8,5f58f72a00db8d380472b769,2012,8,28,2012-08-28T00:00:00.000Z
27.9,27.6,28.3,5f58f72a00db8d380472b76a,2012,8,29,2012-08-29T00:00:00.000Z
28.4,27.4,28.9,5f58f72a00db8d380472b76b,2012,8,30,2012-08-30T00:00:00.000Z
28.7,28.5,28.3,5f58f72a00db8d380472b76c,2012,8,31,2012-08-31T00:00:00.000Z
28.1,27.6,27.1,5f58f72a00db8d380472b76d,2012,9,1,2012-09-01T00:00:00.000Z
27.7,26.9,27.3,5f58f72a00db8d380472b76e,2012,9,2,2012-09-02T00:00:00.000Z
28,26.4,28.2,5f58f72a00db8d380472b76f,2012,9,3,2012-09-03T00:00:00.000Z
27.2,26.6,28.8,5f58f72a00db8d380472b770,2012,9,4,2012-09-04T00:00:00.000Z
26.6,25.9,26.9,5f58f72a00db8d380472b771,2012,9,5,2012-09-05T00:00:00.000Z
27.6,25.5,27.2,5f58f72a00db8d380472b772,2012,9,6,2012-09-06T00:00:00.000Z
26.8,26.4,27.5,5f58f72a00db8d380472b773,2012,9,7,2012-09-07T00:00:00.000Z
26.7,27.7,26.9,5f58f72a00db8d380472b774,2012,9,8,2012-09-08T00:00:00.000Z
27.3,27.2,27.2,5f58f72a00db8d380472b775,2012,9,9,2012-09-09T00:00:00.000Z
27.8,28.6,27.8,5f58f72a00db8d380472b776,2012,9,10,2012-09-10T00:00:00.000Z
27.7,28,26,5f58f72a00db8d380472b777,2012,9,11,2012-09-11T00:00:00.000Z
28.2,27.7,26.4,5f58f72a00db8d380472b778,2012,9,12,2012-09-12T00:00:00.000Z
28,27.4,27.2,5f58f72a00db8d380472b779,2012,9,13,2012-09-13T00:00:00.000Z
25.7,26.6,26.2,5f58f72a00db8d380472b77a,2012,9,14,2012-09-14T00:00:00.000Z
25.7,27,26.9,5f58f72a00db8d380472b77b,2012,9,15,2012-09-15T00:00:00.000Z
27.1,27.3,26.8,5f58f72a00db8d380472b77c,2012,9,16,2012-09-16T00:00:00.000Z
26.9,27.6,27.6,5f58f72a00db8d380472b77d,2012,9,17,2012-09-17T00:00:00.000Z
28.7,27.1,27.7,5f58f72a00db8d380472b77e,2012,9,18,2012-09-18T00:00:00.000Z
29.2,27.6,26.1,5f58f72a00db8d380472b77f,2012,9,19,2012-09-19T00:00:00.000Z
28.7,28.5,25.9,5f58f72a00db8d380472b780,2012,9,20,2012-09-20T00:00:00.000Z
28.3,28.2,26.7,5f58f72a00db8d380472b781,2012,9,21,2012-09-21T00:00:00.000Z
29.1,28.6,27.9,5f58f72a00db8d380472b782,2012,9,22,2012-09-22T00:00:00.000Z
29.5,28.2,28.4,5f58f72a00db8d380472b783,2012,9,23,2012-09-23T00:00:00.000Z
28.7,28.5,28.3,5f58f72a00db8d380472b784,2012,9,24,2012-09-24T00:00:00.000Z
27,26.8,26.9,5f58f72a00db8d380472b785,2012,9,25,2012-09-25T00:00:00.000Z
28,28.2,25.1,5f58f72a00db8d380472b786,2012,9,26,2012-09-26T00:00:00.000Z
26,27.5,26.4,5f58f72a00db8d380472b787,2012,9,27,2012-09-27T00:00:00.000Z
26.7,27.8,27,5f58f72a00db8d380472b788,2012,9,28,2012-09-28T00:00:00.000Z
